Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note,Country
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1961,1961,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1962,1962,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1963,1963,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1964,1964,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1965,1965,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1966,1966,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1967,1967,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1968,1968,ha,0.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1969,1969,ha,97260.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1970,1970,ha,98840.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1971,1971,ha,125090.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1972,1972,ha,146300.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1973,1973,ha,151130.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1974,1974,ha,166220.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1975,1975,ha,175910.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1976,1976,ha,184080.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1977,1977,ha,167020.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1978,1978,ha,171220.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1979,1979,ha,182180.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1980,1980,ha,179540.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1981,1981,ha,176370.0,A,,Algeria
