Country,Country_Code,Year,Indicator_Code,Indicator_Name,Value
Algeria,DZA,2024,SP.POP.TOTL,Population,46814308.0
Algeria,DZA,2023,SP.POP.TOTL,Population,46164219.0
Algeria,DZA,2022,SP.POP.TOTL,Population,45477389.0
Algeria,DZA,2021,SP.POP.TOTL,Population,44761099.0
Algeria,DZA,2020,SP.POP.TOTL,Population,44042091.0
Algeria,DZA,2019,SP.POP.TOTL,Population,43294546.0
Algeria,DZA,2018,SP.POP.TOTL,Population,42505035.0
Algeria,DZA,2017,SP.POP.TOTL,Population,41689299.0
Algeria,DZA,2016,SP.POP.TOTL,Population,40850721.0
Algeria,DZA,2015,SP.POP.TOTL,Population,40019529.0
Algeria,DZA,2014,SP.POP.TOTL,Population,39205031.0
Algeria,DZA,2013,SP.POP.TOTL,Population,38414171.0
Algeria,DZA,2012,SP.POP.TOTL,Population,37646166.0
Algeria,DZA,2011,SP.POP.TOTL,Population,36903376.0
Algeria,DZA,2010,SP.POP.TOTL,Population,36188236.0
Algeria,DZA,2009,SP.POP.TOTL,Population,35490445.0
Algeria,DZA,2008,SP.POP.TOTL,Population,34816961.0
Algeria,DZA,2007,SP.POP.TOTL,Population,34189416.0
Algeria,DZA,2006,SP.POP.TOTL,Population,33623506.0
Algeria,DZA,2005,SP.POP.TOTL,Population,33109249.0
Algeria,DZA,2004,SP.POP.TOTL,Population,32628286.0
Algeria,DZA,2003,SP.POP.TOTL,Population,32175818.0
Algeria,DZA,2002,SP.POP.TOTL,Population,31750835.0
Algeria,DZA,2001,SP.POP.TOTL,Population,31331221.0
Algeria,DZA,2000,SP.POP.TOTL,Population,30903893.0
Egypt,EGY,2024,SP.POP.TOTL,Population,116538258.0
Egypt,EGY,2023,SP.POP.TOTL,Population,114535772.0
Egypt,EGY,2022,SP.POP.TOTL,Population,112618250.0
Egypt,EGY,2021,SP.POP.TOTL,Population,110957008.0
Egypt,EGY,2020,SP.POP.TOTL,Population,109315124.0
Egypt,EGY,2019,SP.POP.TOTL,Population,107553158.0
Egypt,EGY,2018,SP.POP.TOTL,Population,105682094.0
Egypt,EGY,2017,SP.POP.TOTL,Population,103696057.0
Egypt,EGY,2016,SP.POP.TOTL,Population,101644589.0
Egypt,EGY,2015,SP.POP.TOTL,Population,99597342.0
Egypt,EGY,2014,SP.POP.TOTL,Population,97528654.0
Egypt,EGY,2013,SP.POP.TOTL,Population,95333553.0
Egypt,EGY,2012,SP.POP.TOTL,Population,93161001.0
Egypt,EGY,2011,SP.POP.TOTL,Population,91093059.0
Egypt,EGY,2010,SP.POP.TOTL,Population,89196072.0
Egypt,EGY,2009,SP.POP.TOTL,Population,87501636.0
Egypt,EGY,2008,SP.POP.TOTL,Population,85864789.0
Egypt,EGY,2007,SP.POP.TOTL,Population,84276225.0
Egypt,EGY,2006,SP.POP.TOTL,Population,82700403.0
Egypt,EGY,2005,SP.POP.TOTL,Population,81101004.0
Egypt,EGY,2004,SP.POP.TOTL,Population,79477443.0
Egypt,EGY,2003,SP.POP.TOTL,Population,77853548.0
Egypt,EGY,2002,SP.POP.TOTL,Population,76239137.0
Egypt,EGY,2001,SP.POP.TOTL,Population,74652029.0
Egypt,EGY,2000,SP.POP.TOTL,Population,73083284.0
Spain,ESP,2024,SP.POP.TOTL,Population,48848840.0
Spain,ESP,2023,SP.POP.TOTL,Population,48352528.0
Spain,ESP,2022,SP.POP.TOTL,Population,47786102.0
Spain,ESP,2021,SP.POP.TOTL,Population,47443821.0
Spain,ESP,2020,SP.POP.TOTL,Population,47359424.0
Spain,ESP,2019,SP.POP.TOTL,Population,47118501.0
Spain,ESP,2018,SP.POP.TOTL,Population,46782011.0
Spain,ESP,2017,SP.POP.TOTL,Population,46571232.0
Spain,ESP,2016,SP.POP.TOTL,Population,46458139.0
Spain,ESP,2015,SP.POP.TOTL,Population,46422303.0
Spain,ESP,2014,SP.POP.TOTL,Population,46460733.0
Spain,ESP,2013,SP.POP.TOTL,Population,46604197.0
Spain,ESP,2012,SP.POP.TOTL,Population,46773055.0
Spain,ESP,2011,SP.POP.TOTL,Population,46742697.0
Spain,ESP,2010,SP.POP.TOTL,Population,46576897.0
Spain,ESP,2009,SP.POP.TOTL,Population,46362946.0
Spain,ESP,2008,SP.POP.TOTL,Population,45954106.0
Spain,ESP,2007,SP.POP.TOTL,Population,45226803.0
Spain,ESP,2006,SP.POP.TOTL,Population,44397319.0
Spain,ESP,2005,SP.POP.TOTL,Population,43653155.0
Spain,ESP,2004,SP.POP.TOTL,Population,42921895.0
Spain,ESP,2003,SP.POP.TOTL,Population,42187645.0
Spain,ESP,2002,SP.POP.TOTL,Population,41431558.0
Spain,ESP,2001,SP.POP.TOTL,Population,40850412.0
Spain,ESP,2000,SP.POP.TOTL,Population,40567864.0
Greece,GRC,2024,SP.POP.TOTL,Population,10405134.0
Greece,GRC,2023,SP.POP.TOTL,Population,10407351.0
Greece,GRC,2022,SP.POP.TOTL,Population,10437805.0
Greece,GRC,2021,SP.POP.TOTL,Population,10570130.0
Greece,GRC,2020,SP.POP.TOTL,Population,10698599.0
Greece,GRC,2019,SP.POP.TOTL,Population,10721582.0
Greece,GRC,2018,SP.POP.TOTL,Population,10732882.0
Greece,GRC,2017,SP.POP.TOTL,Population,10754679.0
Greece,GRC,2016,SP.POP.TOTL,Population,10775971.0
Greece,GRC,2015,SP.POP.TOTL,Population,10820883.0
Greece,GRC,2014,SP.POP.TOTL,Population,10892413.0
Greece,GRC,2013,SP.POP.TOTL,Population,10965211.0
Greece,GRC,2012,SP.POP.TOTL,Population,11045011.0
Greece,GRC,2011,SP.POP.TOTL,Population,11104899.0
Greece,GRC,2010,SP.POP.TOTL,Population,11121341.0
Greece,GRC,2009,SP.POP.TOTL,Population,11107017.0
Greece,GRC,2008,SP.POP.TOTL,Population,11077841.0
Greece,GRC,2007,SP.POP.TOTL,Population,11048473.0
Greece,GRC,2006,SP.POP.TOTL,Population,11020362.0
Greece,GRC,2005,SP.POP.TOTL,Population,10987314.0
