Country,Year,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Total_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C
Algeria,1985,16.39541,8.906636,2.4792135,542.1424984633923,5237.748049259186,0.22852153,0.2477746,0.23678231,16.382143,16.332598
Algeria,1986,16.141417,8.764529,2.5516608,568.2762475311756,5197.275743961334,0.23165075,0.24689579,0.23083173,16.232656,16.280464
Algeria,1987,16.968359,9.029343,2.5528734,452.00226014852524,5238.071110725403,0.21672757,0.23741364,0.2351185,16.946756,16.861189
Algeria,1988,16.70114,8.888471,2.4890926,466.61042116582394,5278.981691360474,0.20799764,0.2252058,0.2041253,16.860826,16.95182
Algeria,1989,16.784948,9.079582,2.4147115,390.857869386673,5358.6419796943665,0.20308709,0.22554517,0.21232843,16.75135,16.664587
Algeria,1990,16.812561,9.491246,2.41769,514.7540168464184,5207.728713512421,0.21350485,0.22842038,0.20725858,17.050224,17.14929
Algeria,1991,15.5184965,8.290855,2.4860532,492.6336934417486,5183.490514278412,0.23135127,0.24908312,0.23752867,15.608414,15.675609
Algeria,1992,15.612248,8.456253,2.453122,551.4107433855534,5216.152552604675,0.22302566,0.24311452,0.23234646,15.475006,15.444148
Algeria,1993,16.193068,8.340622,2.46823,367.776782117784,5351.31307554245,0.20496678,0.22654034,0.21855827,16.201164,16.196405
Algeria,1994,17.301447,8.729767,2.5167484,377.40144984424114,5463.706305980682,0.20224303,0.22361962,0.20822024,17.255404,17.208036
Algeria,1995,16.665611,8.775859,2.576862,439.2599007487297,5369.8591895103455,0.20270693,0.22036858,0.20821846,16.683653,16.644127
Algeria,1996,16.039068,8.706937,2.734524,587.1907383799553,5177.548709869385,0.22169018,0.23540296,0.21885471,15.994171,16.101118
Algeria,1997,17.093771,9.205009,2.5461862,469.48850716650486,5299.139148712158,0.20562716,0.21533568,0.17736715,17.038528,17.016108
Algeria,1998,16.560343,8.555359,2.539913,469.19698360562325,5321.78365945816,0.20764242,0.2258991,0.20078133,16.558273,16.622778
Algeria,1999,17.356085,8.907435,2.6287963,482.16420635581017,5331.308612346649,0.20603956,0.22292513,0.20017195,17.324097,17.27125
Algeria,2000,17.070543,8.165996,2.53491,311.5947946831584,5548.19998216629,0.18954515,0.21149121,0.2023669,16.95844,16.968164
Algeria,2001,17.351156,8.849744,2.5263467,400.7952900379896,5427.257451534271,0.19915617,0.21727799,0.19952075,17.315872,17.33507
Algeria,2002,17.139296,8.822309,2.611674,422.7042521238327,5404.462550163269,0.1962124,0.20869672,0.17757235,16.97354,16.920982
Algeria,2003,17.291044,9.750931,2.5988548,679.2905879616737,5150.412796497345,0.23471521,0.24716677,0.22274671,17.153269,17.197523
Algeria,2004,16.630468,9.407756,2.5400317,596.0526428818703,5214.94651889801,0.22667761,0.2402162,0.22095478,16.403954,16.449976
Algeria,2005,16.432083,8.758182,2.4632976,443.5180904716253,5339.919271945953,0.20962049,0.22100854,0.20866978,16.30458,16.336151
Algeria,2006,17.388025,9.22993,2.507973,464.7453336119652,5290.457272052765,0.20339209,0.21720047,0.20188151,17.204086,17.160734
Algeria,2007,16.725702,9.396693,2.50871,564.5524580478668,5233.505676269531,0.22075553,0.23484343,0.21022712,16.569847,16.672697
Algeria,2008,16.83857,9.342842,2.552212,488.2476492226124,5298.964416027069,0.21583986,0.222863,0.18490939,16.541582,16.537277
Algeria,2009,17.01084,9.342056,2.6784954,560.7881961464882,5328.974720478058,0.22409898,0.24015494,0.21911144,16.589674,16.515465
Algeria,2010,17.008894,9.437602,2.7408879,538.8376961499453,5188.486541748047,0.21808517,0.23019992,0.20842741,16.76312,16.874582
Algeria,2011,17.021849,9.868256,2.4856749,581.7850676476955,5224.750312805176,0.22215165,0.23645158,0.206958,16.729456,16.749527
Algeria,2012,17.28466,9.076617,2.5280714,485.9525152146816,5339.4193115234375,0.21129037,0.22420187,0.2026148,17.05629,17.023634
