Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Total_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct,Temperature_change
Algeria,2000,168080.0,217112.0,1291.7,17.070543,8.165996,2.53491,311.5947946831584,5548.19998216629,0.18954515,0.21149121,0.2023669,16.95844,16.968164,16.8032614811021,8.39504849504573,0.662960692602887,1772.92869122761,30903893.0,40.1478760554308,0.765
Algeria,2001,177220.0,200339.0,1130.5,17.351156,8.849744,2.5263467,400.7952900379896,5427.257451534271,0.19915617,0.21727799,0.19952075,17.315872,17.33507,16.8402092587772,8.886179657499,0.677193984230017,1896.30020878013,31331221.0,39.3822827211464,1.793
Algeria,2002,190550.0,191926.0,1007.2,17.139296,8.822309,2.611674,422.7042521238327,5404.462550163269,0.1962124,0.20869672,0.17757235,16.97354,16.920982,16.7335645368512,8.41302644785912,0.691427275857146,1937.46411413019,31750835.0,38.6187341398838,1.187
Algeria,2003,209730.0,167627.0,799.3,17.291044,9.750931,2.5988548,679.2905879616737,5150.412796497345,0.23471521,0.24716677,0.22274671,17.153269,17.197523,16.7548514951254,8.45671950735323,0.705660567484276,2283.77299346126,32175818.0,37.8572092013188,1.518
Algeria,2004,226337.0,468800.0,2071.2,16.630468,9.407756,2.5400317,596.0526428818703,5214.94651889801,0.22667761,0.2402162,0.22095478,16.403954,16.449976,17.27518536868,7.72217403415641,0.719893859111406,2816.99384960555,32628286.0,37.0976867951275,0.92
Algeria,2005,239352.0,316489.0,1322.3,16.432083,8.758182,2.4632976,443.5180904716253,5339.919271945953,0.20962049,0.22100854,0.20866978,16.30458,16.336151,17.3028962019364,6.5592713699842,0.734127150738536,3233.13339634212,33109249.0,36.3401458109856,1.192
Algeria,2006,263352.0,264733.0,1005.2,17.388025,9.22993,2.507973,464.7453336119652,5290.457272052765,0.20339209,0.21720047,0.20188151,17.204086,17.160734,17.2903003686381,6.36600271426263,0.748360442365665,3660.66104745322,33623506.0,35.5845651385691,1.333
Algeria,2007,276253.0,208952.0,756.4,16.725702,9.396693,2.50871,564.5524580478668,5233.505676269531,0.22075553,0.23484343,0.21022712,16.569847,16.672697,17.3201105074441,6.32601878401142,0.762593733992795,4167.45169937531,34189416.0,34.8309236675539,1.158
Algeria,2008,282460.0,254067.0,899.5,16.83857,9.342842,2.552212,488.2476492226124,5298.964416027069,0.21583986,0.222863,0.18490939,16.541582,16.537277,17.344042590711,5.54975092049628,0.776827025619925,5180.91881514686,34816961.0,34.098514128841,1.129
Algeria,2009,288442.0,475182.0,1647.4,17.01084,9.342056,2.6784954,560.7881961464882,5328.974720478058,0.22409898,0.24015494,0.21911144,16.589674,16.515465,17.3738527295171,8.01121741497815,0.791060317247055,4235.42990456612,35490445.0,33.4902615440479,0.887
Algeria,2010,294200.0,311252.0,1058.0,17.008894,9.437602,2.7408879,538.8376961499453,5188.486541748047,0.21808517,0.23019992,0.20842741,16.76312,16.874582,17.3713335628574,7.53171561491377,0.805293608874184,4912.78585503672,36188236.0,32.8764942132541,2.182
Algeria,2011,311930.0,610776.0,1958.1,17.021849,9.868256,2.4856749,581.7850676476955,5224.750312805176,0.22215165,0.23645158,0.206958,16.729456,16.749527,17.3772116183966,7.08352512171367,0.808484553309765,5916.31364364343,36903376.0,32.2655992492422,1.323
Algeria,2012,328884.0,393840.0,1197.5,17.28466,9.076617,2.5280714,485.9525152146816,5339.4193115234375,0.21129037,0.22420187,0.2026148,17.05629,17.023634,17.381490003107,8.02697167412095,0.811675497745346,6033.64884689543,37646166.0,31.6578741446325,1.081
Algeria,2013,348196.0,578740.0,1662.1,16.61804,9.499967,2.7582283,594.3409805893898,5215.78363609314,0.22301786,0.23444559,0.20172215,16.459528,16.515753,17.3955322579291,9.12007464194984,0.814866442180927,5979.60138960585,38414171.0,31.0536163920723,1.108
Algeria,2014,383443.0,482860.0,1259.3,17.549204,9.350975,2.71325,524.2458082810044,5367.841632843018,0.21189594,0.22552133,0.19345741,17.25117,17.220167,17.3952656461243,9.40707440856373,0.818057386616507,6094.69392314956,39205031.0,30.4531234842385,1.603
Algeria,2015,406571.0,653725.0,1607.9,17.197245,9.335754,2.508382,442.1073882766068,5400.744478702545,0.20887671,0.22110377,0.19686699,17.05967,17.104986,17.4059228102468,10.5327896965018,0.821247986241997,4685.05902729002,40019529.0,29.8566929138388,1.05
Algeria,2016,423683.0,696431.48,1643.8,17.530983,9.391093,2.5703876,453.41530507802963,5374.960197925568,0.20024197,0.20948833,0.1781124,17.440859,17.417368,17.3655321884285,11.0683130545794,0.821247986241997,4424.98529027556,40850721.0,29.2646221736149,1.685
Algeria,2017,432959.0,684460.56,1580.9,17.534063,8.682216,2.5495002,402.0676399022341,5438.707496166229,0.19056801,0.20417702,0.17023768,17.603622,17.677748,17.3550108093197,11.0318809304784,0.815789794104397,4554.66753957828,41689299.0,28.6772087563449,1.431
Algeria,2018,431009.0,860784.44,1997.1,16.770037,9.655217,2.595495,640.1753355264664,5197.374610424042,0.23473759,0.24432565,0.19558705,16.644007,16.670996,17.3565679895505,11.2438301354995,0.810331601966797,4577.21029180491,42505035.0,28.094750154847,1.15
Algeria,2019,431506.0,868754.0,2013.3,17.141577,9.040581,2.7176898,543.5285462737083,5335.650992393494,0.21701051,0.23138149,0.1966352,17.10584,17.038694,17.3469816184806,11.4791798857164,0.814110692183026,4468.45341883656,43294546.0,27.5175438619825,1.117
Algeria,2020,438828.0,1079508.0,2460.0,17.701418,8.929883,2.5142367,413.5911098122597,5409.5340275764465,0.18978374,0.205011,0.16958606,17.78041,17.784071,17.3352255074022,12.8341693887186,0.818309303282474,3743.5419522929,44042091.0,26.9458873706605,1.881
Algeria,2021,440008.0,704619.0,1601.4,18.184435,8.682571,2.6694415,383.1088595986366,5389.233959197998,0.188201,0.2032568,0.15782896,18.220947,18.204248,17.3306070351928,11.2354345605089,0.822088053271978,4160.55926736925,44761099.0,26.3800781738427,2.333
Algeria,2022,470759.0,850868.13,1807.4,18.446304,8.594007,2.5662715,368.6527618765831,5426.722669124603,0.18325587,0.2024563,0.15649322,18.351547,18.255728,17.351348174024,10.6470638553472,0.826286664371426,4960.30334332888,45477389.0,25.8204137645486,1.696
Algeria,2023,486141.0,913339.99,1878.8,18.24325,8.535774,2.5342147,401.03878202289343,5444.77801656723,0.17489326,0.19525993,0.14486642,18.382261,18.45088,17.359031632336,13.3692450434856,0.830314224054683,5370.477235078,46164219.0,25.267191635862,2.196
Algeria,2024,474116.0,913242.78,1926.2,18.634737,9.401863,2.5914679,337.7960154861212,5452.292544841766,0.18312287,0.19983345,0.15590353,18.715975,18.747614,17.359031632336,13.9597061505767,0.830314224054683,5752.99076651465,46814308.0,24.7207092809382,2.725
Egypt,2000,45513.0,281745.0,6190.4,20.208597,11.996948,3.8412788,51.093907439149916,5058.178366661072,0.04972263,0.14764202,0.11769583,21.98734,22.07934,3.30604249334472,15.5380770361658,0.0594806368978854,1366.09274372613,73083284.0,57.2660601067481,0.083
Egypt,2001,47519.0,293903.0,6185.0,20.82901,11.918915,3.8520024,27.65092449844815,5084.891551494598,0.04395144,0.14764175,0.13031611,22.600946,22.607985,3.35325732080968,15.3512684694731,0.060126575920438,1295.1374184163,74652029.0,57.2164493234667,0.687
