Country,Year,Month,Temperature_K,Dewpoint_Temperature_K,Wind_Speed_10m_m_s,Total_Precipitation_m,Surface_Net_Solar_Radiation_J_m2,Soil_Moisture_Layer1,Soil_Moisture_Layer2,Soil_Moisture_Layer3,Soil_Temperature_Layer2_K,Soil_Temperature_Layer3_K
Algeria,1985,1,279.5295,275.55957,2.8660657,0.0022212188,7.4245405e+06,0.33317104,0.32791728,0.28008565,279.7848,281.43048
Algeria,1985,2,284.4702,278.6023,2.753909,0.0012306272,1.1236066e+07,0.28217876,0.2989149,0.2798414,283.25482,283.19464
Algeria,1985,3,282.16663,277.73657,2.864231,0.0037230186,1.2607504e+07,0.3139973,0.31807423,0.29255137,282.46747,282.79123
Algeria,1985,4,287.54907,280.234,2.7888348,0.0013682854,1.8208682e+07,0.24696958,0.2812925,0.287363,286.9342,285.62314
Algeria,1985,5,289.54782,283.3703,2.5869749,0.002477762,1.7645158e+07,0.275779,0.2910366,0.2751166,289.07407,287.7161
Algeria,1985,6,297.01346,286.79413,2.3618343,0.00041406893,2.145273e+07,0.16422124,0.21859497,0.24832413,296.16464,293.26025
Algeria,1985,7,300.60837,286.65555,2.1952443,0.00021098954,2.1424476e+07,0.12509234,0.17715208,0.21734455,299.94336,297.3524
Algeria,1985,8,299.04422,286.49402,2.213997,0.00013868458,1.9516756e+07,0.113544665,0.1674771,0.20143364,299.59137,298.5539
Algeria,1985,9,295.20627,286.1171,1.9292672,0.0012653758,1.5548555e+07,0.15692303,0.17321673,0.19037932,296.11084,296.5669
Algeria,1985,10,290.53784,283.69284,1.9660987,0.001122799,1.2017508e+07,0.18844493,0.19930486,0.18040344,291.5438,293.22324
Algeria,1985,11,286.48257,281.1895,2.6885657,0.002413411,8.1555285e+06,0.25960776,0.24356815,0.18031798,287.09274,289.41376
Algeria,1985,12,282.3889,278.23367,2.5355392,0.0011974857,6.85352e+06,0.28232875,0.27674586,0.20822667,282.42355,284.6651
Algeria,1986,1,280.70447,276.60095,3.2506406,0.0023619656,7.5891575e+06,0.30478522,0.29664233,0.2314568,280.9923,282.82083
Algeria,1986,2,281.81247,276.9282,3.417896,0.002104861,1.0052353e+07,0.3248991,0.32307476,0.2692777,281.112,281.65906
Algeria,1986,3,283.3345,278.71048,2.6078923,0.0032097772,1.3271282e+07,0.32242924,0.33049104,0.2907445,283.43915,283.53494
Algeria,1986,4,285.58673,278.86868,3.0379972,0.0014164629,1.7191738e+07,0.25329718,0.27968115,0.28472853,285.50574,284.85587
Algeria,1986,5,293.21436,283.8536,2.337688,0.0008940818,2.0359246e+07,0.1778616,0.22561382,0.25891703,292.1834,289.46915
Algeria,1986,6,295.28464,285.23337,2.2667022,0.0007231562,2.1080466e+07,0.17602584,0.20844848,0.23034152,294.65988,292.50537
Algeria,1986,7,298.4791,285.73712,2.3530312,0.0003994201,2.0984122e+07,0.13301335,0.1767867,0.20811541,298.23093,296.2765
Algeria,1986,8,300.4831,286.905,2.1471188,0.00030308447,1.9158192e+07,0.122820444,0.16791561,0.19845057,300.28223,298.62183
Algeria,1986,9,295.64648,286.45023,2.1726065,0.0012450533,1.5215919e+07,0.14976254,0.16723873,0.18770795,296.69772,297.10074
