Country,Year,Month,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Mean_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C
Algeria,1985,1,6.3795166,2.4095764,2.8660657,68.8577835559845,230.16075611114502,0.33317104,0.32791728,0.28008565,6.634796,8.280487
Algeria,1985,2,11.320221,5.452301,2.753909,34.457561016082764,314.6098442077637,0.28217876,0.2989149,0.2798414,10.104828,10.044647
Algeria,1985,3,9.016632,4.5865784,2.864231,115.41357803344727,390.83262062072754,0.3139973,0.31807423,0.29255137,9.317474,9.641235
Algeria,1985,4,14.399078,7.084015,2.7888348,41.04856252670288,546.2604331970215,0.24696958,0.2812925,0.287363,13.78421,12.473145
Algeria,1985,5,16.397827,10.220306,2.5869749,76.81062150001526,546.999921798706,0.275779,0.2910366,0.2751166,15.924072,14.566101
Algeria,1985,6,23.863464,13.6441345,2.3618343,12.422068119049072,643.5819053649902,0.16422124,0.21859497,0.24832413,23.014648,20.11026
Algeria,1985,7,27.458374,13.505554,2.1952443,6.540676042437553,664.1587753295898,0.12509234,0.17715208,0.21734455,26.793365,24.202393
Algeria,1985,8,25.894226,13.344025,2.213997,4.299222156405449,605.019437789917,0.113544665,0.1674771,0.20143364,26.441376,25.4039
Algeria,1985,9,22.056274,12.967102,1.9292672,37.96127200126648,466.45666122436523,0.15692303,0.17321673,0.19037932,22.960846,23.4169
Algeria,1985,10,17.387848,10.542847,1.9660987,34.80677020549774,372.54273414611816,0.18844493,0.19930486,0.18040344,18.393799,20.073242
Algeria,1985,11,13.332581,8.03952,2.6885657,72.40232706069946,244.6658420562744,0.25960776,0.24356815,0.18031798,13.942749,16.263763
Algeria,1985,12,9.238892,5.083679,2.5355392,37.12205624580383,212.45911741256714,0.28232875,0.27674586,0.20822667,9.27356,11.515106
Algeria,1986,1,7.554474,3.4509583,3.2506406,73.22093534469604,235.26388502120972,0.30478522,0.29664233,0.2314568,7.8423157,9.670837
Algeria,1986,2,8.662476,3.7781982,3.417896,58.93610858917236,281.46588134765625,0.3248991,0.32307476,0.2692777,7.9620056,8.509064
Algeria,1986,3,10.184509,5.560486,2.6078923,99.5030906200409,411.4097480773926,0.32242924,0.33049104,0.2907445,10.289154,10.384949
Algeria,1986,4,12.436737,5.718689,3.0379972,42.493886947631836,515.7521438598633,0.25329718,0.27968115,0.28472853,12.355743,11.705872
Algeria,1986,5,20.064362,10.703613,2.337688,27.716534912586212,631.136604309082,0.1778616,0.22561382,0.25891703,19.033417,16.319153
Algeria,1986,6,22.134644,12.083374,2.2667022,21.69468641281128,632.4139595031738,0.17602584,0.20844848,0.23034152,21.509888,19.355377
Algeria,1986,7,25.329102,12.587128,2.3530312,12.382022559642792,650.5077610015869,0.13301335,0.1767867,0.20811541,25.080933,23.126495
Algeria,1986,8,27.3331,13.755005,2.1471188,9.395618349313736,593.9039421081543,0.122820444,0.16791561,0.19845057,27.132233,25.471832
Algeria,1986,9,22.49649,13.300232,2.1726065,37.35159873962402,456.4775562286377,0.14976254,0.16723873,0.18770795,23.54773,23.950745
Algeria,1986,10,17.772064,12.4782715,2.1413732,60.97787606716156,341.2730522155762,0.24590088,0.22720267,0.18516761,18.640015,20.395538
Algeria,1986,11,11.763947,7.1622314,2.365974,53.251333236694336,246.31007194519043,0.2591189,0.25952846,0.19687411,12.662476,15.14682
