Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Algeria,1969,97260.0,118902.0,1222.5
Algeria,1970,98840.0,137571.0,1391.9
Algeria,1971,125090.0,167836.0,1341.7
Algeria,1972,146300.0,171550.0,1172.6
Algeria,1973,151130.0,119061.0,787.8
Algeria,1974,166220.0,172896.0,1040.2
Algeria,1975,175910.0,197267.0,1121.4
Algeria,1976,184080.0,221015.0,1200.6
Algeria,1977,167020.0,116363.0,696.7
Algeria,1978,171220.0,88414.0,516.4
Algeria,1979,182180.0,156920.0,861.3
Algeria,1980,179540.0,103431.0,576.1
Algeria,1981,176370.0,213812.0,1212.3
Algeria,1982,176880.0,143265.0,810.0
Algeria,1983,184260.0,135317.0,734.4
Algeria,1984,161260.0,102031.0,632.7
Algeria,1985,162740.0,159155.0,978.0
Algeria,1986,164630.0,201625.0,1224.7
Algeria,1987,161680.0,168172.0,1040.2
Algeria,1988,161150.0,142892.0,886.7
Algeria,1989,161500.0,92453.0,572.5
Algeria,1990,170170.0,177907.0,1045.5
Algeria,1991,164520.0,87736.0,533.3
Algeria,1992,164290.0,265520.0,1616.2
Algeria,1993,161380.0,206073.0,1276.9
Algeria,1994,161260.0,170360.0,1056.4
Algeria,1995,160780.0,130964.0,814.6
Algeria,1996,165040.0,313334.0,1898.5
Algeria,1997,162840.0,319474.0,1961.9
Algeria,1998,165260.0,124060.0,750.7
Algeria,1999,165600.0,363381.0,2194.3
Algeria,2000,168080.0,217112.0,1291.7
Algeria,2001,177220.0,200339.0,1130.5
Algeria,2002,190550.0,191926.0,1007.2
Algeria,2003,209730.0,167627.0,799.3
Algeria,2004,226337.0,468800.0,2071.2
Algeria,2005,239352.0,316489.0,1322.3
Algeria,2006,263352.0,264733.0,1005.2
Algeria,2007,276253.0,208952.0,756.4
Algeria,2008,282460.0,254067.0,899.5
Algeria,2009,288442.0,475182.0,1647.4
Algeria,2010,294200.0,311252.0,1058.0
Algeria,2011,311930.0,610776.0,1958.1
Algeria,2012,328884.0,393840.0,1197.5
Algeria,2013,348196.0,578740.0,1662.1
Algeria,2014,383443.0,482860.0,1259.3
Algeria,2015,406571.0,653725.0,1607.9
Algeria,2016,423683.0,696431.48,1643.8
Algeria,2017,432959.0,684460.56,1580.9
Algeria,2018,431009.0,860784.44,1997.1
Algeria,2019,431506.0,868754.0,2013.3
Algeria,2020,438828.0,1079508.0,2460.0
Algeria,2021,440008.0,704619.0,1601.4
Algeria,2022,470759.0,850868.13,1807.4
Algeria,2023,486141.0,913339.99,1878.8
Algeria,2024,474116.0,913242.78,1926.2
Egypt,1961,2800.0,8564.0,3058.6
Egypt,1962,4000.0,11725.0,2931.3
Egypt,1963,2700.0,7805.0,2890.7
Egypt,1964,3500.0,10329.0,2951.1
Egypt,1965,3500.0,10370.0,2962.9
Egypt,1966,2300.0,6952.0,3022.6
Egypt,1967,3700.0,11000.0,2973.0
Egypt,1968,2500.0,8000.0,3200.0
Egypt,1969,2500.0,8000.0,3200.0
Egypt,1970,2300.0,7000.0,3043.5
Egypt,1971,2000.0,5875.0,2937.5
Egypt,1972,2500.0,8000.0,3200.0
Egypt,1973,2500.0,8000.0,3200.0
Egypt,1974,2500.0,8000.0,3200.0
Egypt,1975,2500.0,8000.0,3200.0
Egypt,1976,2700.0,7617.0,2821.1
Egypt,1977,1680.0,5498.0,3272.6
