Country,Year,Temperature_change
Algeria,1961,0.231
Algeria,1962,0.183
Algeria,1963,0.133
Algeria,1964,0.295
Algeria,1965,-0.073
Algeria,1966,0.415
Algeria,1967,-0.001
Algeria,1968,-0.065
Algeria,1969,0.24
Algeria,1970,0.063
Algeria,1971,-0.438
Algeria,1972,-0.395
Algeria,1973,-0.08
Algeria,1974,-0.555
Algeria,1975,-0.603
Algeria,1976,-0.877
Algeria,1977,0.472
Algeria,1978,-0.028
Algeria,1979,0.609
Algeria,1980,0.159
Algeria,1981,0.136
Algeria,1982,0.317
Algeria,1983,0.524
Algeria,1984,-0.04
Algeria,1985,0.454
Algeria,1986,0.257
Algeria,1987,0.9
Algeria,1988,1.289
Algeria,1989,0.295
Algeria,1990,1.235
Algeria,1991,-0.003
Algeria,1992,-0.34
Algeria,1993,0.528
Algeria,1994,0.698
Algeria,1995,0.555
Algeria,1996,0.795
Algeria,1997,0.983
Algeria,1998,1.056
Algeria,1999,1.425
Algeria,2000,0.765
Algeria,2001,1.793
Algeria,2002,1.187
Algeria,2003,1.518
Algeria,2004,0.92
Algeria,2005,1.192
Algeria,2006,1.333
Algeria,2007,1.158
Algeria,2008,1.129
Algeria,2009,0.887
Algeria,2010,2.182
Algeria,2011,1.323
Algeria,2012,1.081
Algeria,2013,1.108
Algeria,2014,1.603
Algeria,2015,1.05
Algeria,2016,1.685
Algeria,2017,1.431
Algeria,2018,1.15
Algeria,2019,1.117
Algeria,2020,1.881
Algeria,2021,2.333
Algeria,2022,1.696
Algeria,2023,2.196
Algeria,2024,2.725
Algeria,2025,2.012
Egypt,1961,-0.233
Egypt,1962,0.663
Egypt,1963,0.65
Egypt,1964,-0.341
Egypt,1965,-0.06
Egypt,1966,0.482
Egypt,1967,-0.655
Egypt,1968,-0.11
Egypt,1969,0.445
Egypt,1970,-0.07
Egypt,1971,-0.239
Egypt,1972,0.01
Egypt,1973,-0.285
Egypt,1974,-0.113
Egypt,1975,-0.474
Egypt,1976,-0.257
Egypt,1977,-0.111
Egypt,1978,-0.263
Egypt,1979,0.592
Egypt,1980,-0.088
Egypt,1981,-0.251
Egypt,1982,-0.379
Egypt,1983,-1.083
Egypt,1984,-0.174
Egypt,1985,0.28
Egypt,1986,0.151
Egypt,1987,-0.303
Egypt,1988,0.261
Egypt,1989,-0.15
Egypt,1990,-0.081
Egypt,1991,0.428
Egypt,1992,-0.588
Egypt,1993,0.033
Egypt,1994,0.632
Egypt,1995,0.158
Egypt,1996,0.394
Egypt,1997,0.068
Egypt,1998,0.773
Egypt,1999,0.839
Egypt,2000,0.083
Egypt,2001,0.687
Egypt,2002,0.816
Egypt,2003,0.716
Egypt,2004,0.637
Egypt,2005,0.511
Egypt,2006,0.712
Egypt,2007,0.558
Egypt,2008,0.87
Egypt,2009,0.853
Egypt,2010,2.273
Egypt,2011,0.614
Egypt,2012,0.941
Egypt,2013,1.041
Egypt,2014,1.247
Egypt,2015,1.198
Egypt,2016,1.392
Egypt,2017,0.61
Egypt,2018,2.057
Egypt,2019,0.992
Egypt,2020,1.0
Egypt,2021,1.688
Egypt,2022,0.613
Egypt,2023,1.868
Egypt,2024,2.013
Egypt,2025,1.402
Greece,1961,0.459
Greece,1962,0.601
Greece,1963,0.285
Greece,1964,-0.322
Greece,1965,-0.335
Greece,1966,0.783
Greece,1967,-0.2
Greece,1968,0.19
Greece,1969,-0.073
Greece,1970,0.28
Greece,1971,-0.232
Greece,1972,-0.189
Greece,1973,-0.359
Greece,1974,-0.187
Greece,1975,-0.246
Greece,1976,-0.898
Greece,1977,0.358
Greece,1978,-0.525
Greece,1979,0.21
Greece,1980,-0.347
Greece,1981,-0.158
Greece,1982,-0.212
Greece,1983,-0.46
Greece,1984,-0.09
Greece,1985,-0.028
Greece,1986,0.346
Greece,1987,-0.355
Greece,1988,0.172
Greece,1989,-0.163
Greece,1990,0.407
Greece,1991,-0.159
Greece,1992,-0.489
Greece,1993,-0.287
Greece,1994,1.109
Greece,1995,0.009
Greece,1996,-0.114
Greece,1997,-0.142
Greece,1998,0.694
Greece,1999,0.864
Greece,2000,0.741
Greece,2001,1.38
Greece,2002,0.503
Greece,2003,0.457
Greece,2004,0.407
Greece,2005,0.271
Greece,2006,0.317
Greece,2007,1.148
Greece,2008,0.949
Greece,2009,0.835
Greece,2010,1.633
Greece,2011,0.441
Greece,2012,1.286
Greece,2013,1.374
Greece,2014,1.123
Greece,2015,0.961
Greece,2016,1.626
Greece,2017,0.715
Greece,2018,2.002
Greece,2019,1.475
Greece,2020,1.351
Greece,2021,1.718
Greece,2022,1.109
Greece,2023,1.909
Greece,2024,2.678
Greece,2025,1.945
Italy,1961,0.812
Italy,1962,0.048
Italy,1963,-0.347
Italy,1964,0.144
Italy,1965,-0.42
